,index,fonction,cat,grade,Echelon,durée,Indice Brut,Indice majoré,salaire brut,indice majoré calculé
67,68,Adjoint technique du Ministère de la Transition écologique et solidaire,C,2,3,inf,376,346,1621.36,346.0
68,69,Adjoint technique du Ministère de la Transition écologique et solidaire,C,2,4,inf,387,354,1658.85,354.0
69,70,Adjoint technique du Ministère de la Transition écologique et solidaire,C,2,5,inf,396,360,1686.97,360.0
70,71,Adjoint technique du Ministère de la Transition écologique et solidaire,C,2,6,inf,404,365,1710.4,365.0
71,72,Adjoint technique du Ministère de la Transition écologique et solidaire,C,2,7,inf,416,370,1733.83,370.0
72,73,Adjoint technique du Ministère de la Transition écologique et solidaire,C,2,8,inf,430,380,1780.69,380.0
73,74,Adjoint technique du Ministère de la Transition écologique et solidaire,C,2,9,inf,446,392,1836.92,392.0
74,75,Adjoint technique du Ministère de la Transition écologique et solidaire,C,2,10,inf,461,404,1893.15,404.0
75,76,Adjoint technique du Ministère de la Transition écologique et solidaire,C,2,11,inf,473,412,1930.64,412.0
76,77,Adjoint technique du Ministère de la Transition écologique et solidaire,C,2,12,inf,486,420,1968.13,420.0
77,78,Adjoint technique du Ministère de la Transition écologique et solidaire,C,3,1,inf,367,340,1593.25,340.0
78,79,Adjoint technique du Ministère de la Transition écologique et solidaire,C,3,2,inf,368,341,1597.93,341.0
79,80,Adjoint technique du Ministère de la Transition écologique et solidaire,C,3,3,inf,370,342,1602.62,342.0
80,81,Adjoint technique du Ministère de la Transition écologique et solidaire,C,3,4,inf,371,343,1607.31,343.0
81,82,Adjoint technique du Ministère de la Transition écologique et solidaire,C,3,5,inf,374,345,1616.68,345.0
82,83,Adjoint technique du Ministère de la Transition écologique et solidaire,C,3,6,inf,378,348,1630.74,348.0
83,84,Adjoint technique du Ministère de la Transition écologique et solidaire,C,3,7,inf,381,351,1644.79,351.0
84,85,Adjoint technique du Ministère de la Transition écologique et solidaire,C,3,8,inf,387,354,1658.85,354.0
85,86,Adjoint technique du Ministère de la Transition écologique et solidaire,C,3,9,inf,401,363,1701.03,363.0
86,87,Adjoint technique du Ministère de la Transition écologique et solidaire,C,3,10,inf,419,372,1743.2,372.0
87,88,Adjoint technique du Ministère de la Transition écologique et solidaire,C,3,11,inf,432,382,1790.06,382.0
88,89,Adjoint d'administration de l'aviation civile,C,1,1,inf,388,355,1663.54,355.0
89,90,Adjoint d'administration de l'aviation civile,C,1,2,inf,397,361,1691.66,361.0
90,91,Adjoint d'administration de l'aviation civile,C,1,3,inf,412,368,1724.46,368.0
91,92,Adjoint d'administration de l'aviation civile,C,1,4,inf,430,380,1780.69,380.0
92,93,Adjoint d'administration de l'aviation civile,C,1,5,inf,448,393,1841.61,393.0
93,94,Adjoint d'administration de l'aviation civile,C,1,6,inf,460,403,1888.47,403.0
94,95,Adjoint d'administration de l'aviation civile,C,1,7,inf,478,415,1944.7,415.0
95,96,Adjoint d'administration de l'aviation civile,C,1,8,inf,499,430,2014.99,430.0
96,97,Adjoint d'administration de l'aviation civile,C,1,9,inf,525,450,2108.71,450.0
97,98,Adjoint d'administration de l'aviation civile,C,1,10,inf,558,473,2216.49,473.0
98,99,Adjoint d'administration de l'aviation civile,C,2,1,inf,368,341,1597.93,341.0
99,100,Adjoint d'administration de l'aviation civile,C,2,2,inf,371,343,1607.31,343.0
100,101,Adjoint d'administration de l'aviation civile,C,2,3,inf,376,346,1621.36,346.0
101,102,Adjoint d'administration de l'aviation civile,C,2,4,inf,387,354,1658.85,354.0
102,103,Adjoint d'administration de l'aviation civile,C,2,5,inf,396,360,1686.97,360.0
