web-scraper-order,web-scraper-start-url,fonction,fonction-href,Echelon,Indice Brut,Indice majoré,Durée,Salaire brut,catA,catB,catC
"1651681086-4894","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Maître assistant de l'Ecole nationale supérieure des mines","https://www.emploi-collectivites.fr/grille-indiciaire-etat-maitre-assistant-ecole-nationale-superieure-mines/1/5260.htm","","HEA3","-","-","4 554,82 €","A","null","null"
"1651681553-6987","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Directeur général de centre régional des œuvres universitaires et scolaires (CROUS) – emploi fonctionnel","https://www.emploi-collectivites.fr/grille-indiciaire-etat-directeur-general-centre-regional-uvres-universitaires-scolaires-crous-emploi/1/5717.htm","","HEA3","-","-","4 554,82 €","A","null","null"
"1651682449-11530","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Directeur délégué aux ressources humaines de la Bibliothèque nationale de France -BNF-(Emploi fonctionnel)","https://www.emploi-collectivites.fr/grille-indiciaire-etat-directeur-delegue-aux-ressources-humaines-bibliotheque-nationale-france-bnf/1/5420.htm","4","HEA","-","8 mois","4 170,56 €","A","null","null"
"1651681030-4789","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Commandement de la police nationale","https://www.emploi-collectivites.fr/grille-indiciaire-etat-commandement-police-nationale/1/6016.htm","Echelon exceptionnel","859","702","-","3 289,59 €","A","null","null"
"1651682589-12491","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Secrétaire administratif du ministère de l'agriculture et de l'Alimentation","https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-ministere-agriculture-alimentation/1/6130.htm","2","461","404","2 ans","1 893,15 €","null","B","null"
"1651682654-12893","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Directeur régional de l'Office national des forêts-ONF (Emploi fonctionnel)","https://www.emploi-collectivites.fr/grille-indiciaire-etat-directeur-regional-office-national-forets-onf-emploi-fonctionnel/1/6357.htm","6","HEB","-","1 an","4 554,82 €","A","null","null"
"1651681284-6014","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Adjoint technique de recherche et de formation","https://www.emploi-collectivites.fr/grille-indiciaire-etat-adjoint-technique-recherche-formation/1/6002.htm","5","396","360","1 an","1 686,97 €","null","null","C"
"1651681058-4850","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Administrateur civil des Ministères de l'intérieur et des outre-mer - en extinction","https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur-civil-ministeres-interieur-outre-mer-extinction/1/6671.htm","","","","","","null","null","null"
"1651682628-12711","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Inspecteur de l’enseignement agricole (emploi fonctionnel)","https://www.emploi-collectivites.fr/grille-indiciaire-etat-inspecteur-enseignement-agricole-emploi-fonctionnel/1/5360.htm","","HEBbis3","-","-","5 267,09 €","A","null","null"
"1651680813-2658","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Directeur des services de la protection judiciaire de la jeunesse","https://www.emploi-collectivites.fr/grille-indiciaire-etat-directeur-services-protection-judiciaire-jeunesse/1/5681.htm","5","567","480","2 ans 6 mois","2 249,29 €","A","null","null"
"1651681881-8234","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Contrôleur des douanes et droits indirects -DGDDI","https://www.emploi-collectivites.fr/grille-indiciaire-etat-controleur-douanes-droits-indirects-dgddi/1/5314.htm","4","513","441","2 ans","2 066,54 €","null","B","null"
"1651681790-7654","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Aide-technicien des installations de France Télécom -en voie d'extinction","https://www.emploi-collectivites.fr/grille-indiciaire-etat-aide-technicien-installations-france-telecom-extinction/1/6160.htm","1","388","355","2 ans","1 663,54 €","null","null","C"
"1651681025-4719","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Conseiller d’administration de l’intérieur et de l’outre-mer-emploi fonctionnel","https://www.emploi-collectivites.fr/grille-indiciaire-etat-conseiller-administration-interieur-outre-mer-emploi-fonctionnel/1/5841.htm","","HEA2","-","1 an","4 334,57 €","A","null","null"
"1651680528-351","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Secrétaire général de l'inspection du travail des transports-Emploi fonctionnel","https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-general-inspection-travail-transports-emploi-fonctionnel/1/5709.htm","1","1015","821","2 ans","3 847,23 €","A","null","null"
"1651680937-4104","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Agent du système d'information et de communication-ASIC","https://www.emploi-collectivites.fr/grille-indiciaire-etat-agent-systeme-information-communication-asic/1/6273.htm","9","446","392","3 ans","1 836,92 €","null","null","C"
"1651680956-4231","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Sous-officier du soutien technique et administratif de la gendarmerie nationale","https://www.emploi-collectivites.fr/grille-indiciaire-etat-officier-soutien-technique-administratif-gendarmerie-nationale/1/6072.htm","6","544","463","3 ans","2 169,63 €","null","B","null"
"1651680888-3542","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Professeur de sport","https://www.emploi-collectivites.fr/grille-indiciaire-etat-professeur-sport/1/5773.htm","","HEA3","-","-","4 554,82 €","A","null","null"
"1651681841-8000","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Technicien des installations de France Télécom -en voie d'extinction","https://www.emploi-collectivites.fr/grille-indiciaire-etat-technicien-installations-france-telecom-extinction/1/6158.htm","3","363","337","1 an 6 mois","1 579,19 €","null","B","null"
"1651681356-6154","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Sous directeur Ecoles normales supérieures","https://www.emploi-collectivites.fr/grille-indiciaire-etat-directeur-ecoles-normales-superieures/1/5153.htm","","","","","","null","null","null"
"1651681414-6408","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Professeur de lycée professionnel bi-admissible à l'agrégation","https://www.emploi-collectivites.fr/grille-indiciaire-etat-professeur-lycee-professionnel-bi-admissible-agregation/1/5574.htm","7","644","538","3 ans 6 mois","2 521,08 €","A","null","null"
"1651682164-9644","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Adjoint technique du Ministère des Armées","https://www.emploi-collectivites.fr/grille-indiciaire-etat-adjoint-technique-ministere-armees/1/6678.htm","2","397","361","1 an","1 691,66 €","null","null","C"
"1651681407-6333","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Professeur des écoles","https://www.emploi-collectivites.fr/grille-indiciaire-etat-professeur-ecoles/1/5600.htm","5","939","763","3 ans","3 575,44 €","A","null","null"
"1651681453-6617","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Médecin de l'éducation nationale","https://www.emploi-collectivites.fr/grille-indiciaire-etat-medecin-education-nationale/1/6003.htm","1","542","461","1 an","2 160,26 €","A","null","null"
"1651680514-256","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Technicien du Ministère de la Transition écologique et solidaire","https://www.emploi-collectivites.fr/grille-indiciaire-etat-technicien-ministere-transition-ecologique-solidaire/1/6695.htm","12","563","477","4 ans","2 235,23 €","null","B","null"
"1651682097-9324","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Cadre de La Poste-en voie d'extinction","https://www.emploi-collectivites.fr/grille-indiciaire-etat-cadre-poste-extinction/1/6490.htm","2","490","423","6 mois","1 982,19 €","A","null","null"
"1651680940-4119","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Adjoint Technique des Ministères de l'intérieur et des outre-mer","https://www.emploi-collectivites.fr/grille-indiciaire-etat-adjoint-technique-ministeres-interieur-outre-mer/1/5640.htm","","","","","","null","null","null"
"1651681195-5478","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Agent technique de l'environnement-ATE -corps en voie d'extinction","https://www.emploi-collectivites.fr/grille-indiciaire-etat-agent-technique-environnement-ate-corps-extinction/1/5831.htm","10","461","404","3 ans","1 893,15 €","null","null","C"
"1651682411-11300","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Technicien de recherche du Ministère de la Culture","https://www.emploi-collectivites.fr/grille-indiciaire-etat-technicien-recherche-ministere-culture/1/5208.htm","12","563","477","4 ans","2 235,23 €","null","B","null"
"1651680803-2464","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Directeur fonctionnel des services de greffe judiciaires (emploi fonctionnel)","https://www.emploi-collectivites.fr/grille-indiciaire-etat-directeur-fonctionnel-services-greffe-judiciaires-emploi-fonctionnel/1/6513.htm","4","HEA","-","1 an","4 170,56 €","A","null","null"
"1651680828-2818","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Coordonnateur régional de formation de l'Ecole nationale de la magistrature (ENM) -Emploi fonctionnel","https://www.emploi-collectivites.fr/grille-indiciaire-etat-coordonnateur-regional-formation-ecole-nationale-magistrature-enm-emploi/1/6245.htm","","HEC3","-","-","5 496,71 €","A","null","null"
"1651681409-6359","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Professeur d'enseignement général de collège (corps en voie d'extinction)","https://www.emploi-collectivites.fr/grille-indiciaire-etat-professeur-enseignement-general-college-corps-extinction/1/5589.htm","1","354","332","1 an","1 555,76 €","A","null","null"
"1651681901-8422","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Collaborateur et agent de maîtrise de France Télécom-en voie d'extinction","https://www.emploi-collectivites.fr/grille-indiciaire-etat-collaborateur-agent-maitrise-france-telecom-extinction/1/6495.htm","6","601","506","2 ans","2 371,13 €","null","B","null"
"1651682606-12574","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Professeur de lycée professionnel agricole-PLPA","https://www.emploi-collectivites.fr/grille-indiciaire-etat-professeur-lycee-professionnel-agricole-plpa/1/5408.htm","2","457","400","1 an","1 874,41 €","A","null","null"
"1651681414-6402","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Professeur de lycée professionnel bi-admissible à l'agrégation","https://www.emploi-collectivites.fr/grille-indiciaire-etat-professeur-lycee-professionnel-bi-admissible-agregation/1/5574.htm","1","416","370","3 mois","1 733,83 €","A","null","null"
"1651681836-7966","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Technicien supérieur de La Poste-en voie d'extinction","https://www.emploi-collectivites.fr/grille-indiciaire-etat-technicien-superieur-poste-extinction/1/6534.htm","15","665","555","-","2 600,74 €","null","B","null"
"1651681086-4905","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Maître assistant de l'Ecole nationale supérieure des mines","https://www.emploi-collectivites.fr/grille-indiciaire-etat-maitre-assistant-ecole-nationale-superieure-mines/1/5260.htm","8","991","803","2 ans 10 mois","3 762,88 €","A","null","null"
"1651682367-11017","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Commissaire de l'air","https://www.emploi-collectivites.fr/grille-indiciaire-etat-commissaire-air/1/6092.htm","4","HEB","-","1 an","4 554,82 €","A","null","null"
"1651680508-168","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Technicien supérieur des études et de l'exploitation de l'aviation civile- TSEEAC","https://www.emploi-collectivites.fr/grille-indiciaire-etat-technicien-superieur-etudes-exploitation-aviation-civile-tseeac/1/5858.htm","6","599","504","3 ans 6 mois","2 361,76 €","null","B","null"
"1651682156-9601","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Auxiliaire de puériculture","https://www.emploi-collectivites.fr/grille-indiciaire-etat-auxiliaire-puericulture/1/6109.htm","3","412","368","2 ans","1 724,46 €","null","null","C"
"1651682217-10109","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Vétérinaire des armées","https://www.emploi-collectivites.fr/grille-indiciaire-etat-veterinaire-armees/1/6100.htm","","HEC3","-","1 an","5 496,71 €","A","null","null"
"1651682164-9645","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Adjoint technique du Ministère des Armées","https://www.emploi-collectivites.fr/grille-indiciaire-etat-adjoint-technique-ministere-armees/1/6678.htm","3","412","368","2 ans","1 724,46 €","null","null","C"
"1651682205-10087","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Contrôleur spécialisé de la direction générale de la sécurité extérieure-DGSE","https://www.emploi-collectivites.fr/grille-indiciaire-etat-controleur-specialise-direction-generale-securite-exterieure-dgse/1/6313.htm","7","452","396","2 ans","1 855,67 €","null","B","null"
"1651682589-12526","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Secrétaire administratif du ministère de l'agriculture et de l'Alimentation","https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-ministere-agriculture-alimentation/1/6130.htm","13","597","503","-","2 357,07 €","null","B","null"
