web-scraper-order,web-scraper-start-url,fonction,fonction-href,Echelon,Indice Brut,Indice majoré,Durée,Salaire brut,catA,catB,catC
1651682562-12337,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,4,713,591,1 an,"2 769,44 €",A,,
1651682562-12343,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,10,1015,821,,"3 847,23 €",A,,
1651680773-2097,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du second grade provisoire de l'ordre judiciaire,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-second-grade-provisoire-ordre-judiciaire/1/6239.htm,2,600,505,1 an 6 mois,"2 366,44 €",A,,
1651680830-2827,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Coordonnateur de formation de l'Ecole nationale de la magistrature (ENM),https://www.emploi-collectivites.fr/grille-indiciaire-etat-coordonnateur-formation-ecole-nationale-magistrature-enm/1/6246.htm,,HEA3,-,1 an,"4 554,82 €",A,,
1651680765-1920,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Maître des requêtes du Conseil d'Etat -CE,https://www.emploi-collectivites.fr/grille-indiciaire-etat-maitre-requetes-conseil/1/5663.htm,5,1027,830,2 ans,"3 889,40 €",A,,
1651682511-11940,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,5,415,369,2 ans,"1 729,14 €",,B,
1651680771-2074,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,7,762,628,-,"2 942,82 €",A,,
1651680771-2065,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,8,HEBbis,-,1 an,"4 999,99 €",A,,
1651682562-12313,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,,HEBbis3,-,1 an,"5 267,09 €",A,,
1651680771-2063,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,,HEB2,-,1 an,"4 746,94 €",A,,
1651680773-2105,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du second grade provisoire de l'ordre judiciaire,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-second-grade-provisoire-ordre-judiciaire/1/6239.htm,10,1027,830,-,"3 889,40 €",A,,
1651682511-11924,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,2,399,362,2 ans,"1 696,34 €",,B,
1651680778-2138,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du premier grade de l'ordre judiciaire,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-premier-grade-ordre-judiciaire/1/5672.htm,5,1027,830,2 ans,"3 889,40 €",A,,
